*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PiLarm
*Date=15:32:48
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
101;;;8.8646;-27.3492;0;Bottom;Copper Fill12
102;;;8.7249;-29.7876;0;Bottom;Copper Fill66
103;;;34.671;-14.7001;0;Bottom;Copper Fill98
104;;;7.95573;3.92537;90;Bottom;Raspberry Pi1
105;;;32.3596;-24.86;0;Bottom;Copper Fill89
106;;;32.3596;-35.02;0;Bottom;Copper Fill3
107;;;32.3596;-22.32;0;Bottom;Copper Fill91
108;;;24.8158;-7.77858;0;Bottom;Copper Fill106
109;;;34.671;-24.86;0;Bottom;Copper Fill90
110;;;32.3342;-32.48;0;Bottom;Copper Fill5
111;;;16.3449;-20.0849;0;Bottom;Copper Fill115
112;;;34.671;-24.86;0;Bottom;Copper Fill19
113;;;32.385;-7.08008;0;Bottom;Copper Fill38
114;;;30.1244;-26.2189;0;Bottom;Copper Fill44
115;;;32.3596;-22.32;0;Bottom;Copper Fill20
116;;tactile-pth;26.2862;-27.3338;90;Bottom;1
117;;;14.859;-12.4649;0;Bottom;Copper Fill31
118;;;32.3596;-27.4;0;Bottom;Copper Fill15
119;;;25.8631;-39.3458;90;Bottom;TXT1
120;;;18.0594;-6.72448;0;Bottom;Copper Fill40
121;;;11.049;-31.3878;0;Bottom;Copper Fill8
122;;;18.6436;-12.4649;0;Bottom;Copper Fill32
123;;;9.5758;-7.77858;0;Bottom;Copper Fill52
124;;;6.1722;-28.0096;0;Bottom;Copper Fill14
125;;tactile-pth;11.0462;-27.3338;90;Bottom;7
126;;;29.1817;-32.49;0;Bottom;Via2
127;;;34.671;-32.48;0;Bottom;Copper Fill84
128;;;1.9558;-7.77858;0;Bottom;Copper Fill56
129;;;34.671;-27.4;0;Bottom;Copper Fill88
130;;;32.3596;-29.94;0;Bottom;Copper Fill9
131;;;16.3449;-6.92768;0;Bottom;Copper Fill49
132;;;34.4678;-13.519;0;Bottom;Copper Fill46
133;;;32.3596;-12.1601;0;Bottom;Copper Fill99
134;;;8.7249;-20.0849;0;Bottom;Copper Fill114
135;;;1.9558;-19.2086;0;Bottom;Copper Fill113
136;;;34.671;-35.02;0;Bottom;Copper Fill81
137;;;17.1958;-30.6385;0;Bottom;Copper Fill120
138;;;18.0594;-22.574;0;Bottom;Copper Fill76
139;;;9.5758;-19.2086;0;Bottom;Copper Fill62
140;;;6.1722;-25.5204;0;Bottom;Copper Fill17
141;;;24.8158;-19.2086;0;Bottom;Copper Fill118
142;;;32.3342;-32.48;0;Bottom;Copper Fill83
143;;;34.4678;-13.519;0;Bottom;Copper Fill105
144;;;34.671;-22.32;0;Bottom;Copper Fill92
145;;;30.1244;-26.2189;0;Bottom;Copper Fill103
146;;;34.671;-27.4;0;Bottom;Copper Fill16
