*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=RPiLarm
*Date=17:20:07
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;22.479;-12.4903;0;Bottom;Copper Fill33
103;;;29.7688;-29.7368;0;Bottom;Copper Fill10
104;;;34.671;-22.32;0;Bottom;Copper Fill21
105;;;1.1049;-18.3577;0;Bottom;Copper Fill58
106;;;8.7249;-18.3577;0;Bottom;Copper Fill61
107;;;24.8158;-7.77858;0;Bottom;Copper Fill106
108;;;34.671;-19.7801;0;Bottom;Copper Fill24
109;;;8.7249;-20.0849;0;Bottom;Copper Fill60
110;;tactile-pth;11.0462;-4.47376;90;Bottom;9
111;;;9.5758;-7.77858;0;Bottom;Copper Fill52
112;;;17.1958;-30.6385;0;Bottom;Copper Fill120
113;;;29.8704;-11.9569;0;Bottom;Copper Fill36
114;;;6.8326;-38.8681;0;Bottom;Copper Fill125
115;;;34.671;-24.86;0;Bottom;Copper Fill90
116;;;29.9974;-32.4546;0;Bottom;Copper Fill82
117;;;34.671;-29.94;0;Bottom;Copper Fill86
118;;;8.7249;-6.92768;0;Bottom;Copper Fill51
119;;;32.3596;-14.7001;0;Bottom;Copper Fill97
120;;;22.479;-30.575;0;Bottom;Copper Fill6
121;;;16.0274;-31.6164;0;Bottom;Copper Fill4
122;;;32.3596;-17.2401;0;Bottom;Copper Fill95
123;;;9.5758;-30.6385;0;Bottom;Copper Fill119
124;;;34.671;-22.32;0;Bottom;Copper Fill92
125;;tactile-pth;26.2862;-15.9038;90;Bottom;2
126;;;24.8158;-30.6385;0;Bottom;Copper Fill69
127;;;23.9649;-20.0849;0;Bottom;Copper Fill117
128;;;18.6436;-12.4649;0;Bottom;Copper Fill32
129;;tactile-pth;11.0462;-15.9038;90;Bottom;8
130;;tactile-pth;11.0462;-27.3338;90;Bottom;7
131;;;32.3596;-12.1601;0;Bottom;Copper Fill35
132;;;0.3048;-7.77858;0;Bottom;Copper Fill55
133;;;5.0165;-30.2702;0;Bottom;Copper Fill70
134;;;17.1958;-19.2086;0;Bottom;Copper Fill64
135;;;6.1341;-39.6174;0;Bottom;Copper Fill71
136;;;1.1049;-20.0849;0;Bottom;Copper Fill57
137;;;17.1958;-7.77858;0;Bottom;Copper Fill50
138;;;34.671;-17.2401;0;Bottom;Copper Fill28
139;;;1.1049;-8.65488;0;Bottom;Copper Fill53
140;;;17.1958;-19.2086;0;Bottom;Copper Fill116
141;;;0.3048;-7.77858;0;Bottom;Copper Fill110
142;;tactile-pth;3.42618;-4.47376;90;Bottom;DEL
143;;;1.1049;-20.0849;0;Bottom;Copper Fill111
144;;;32.3596;-27.4;0;Bottom;Copper Fill87
145;;;11.049;-31.3878;0;Bottom;Copper Fill8
146;;;29.1817;-32.49;0;Bottom;Via2
