*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PiLarm
*Date=16:55:03
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
101;;;20.8026;-27.0952;0;Bottom;Copper Fill11
102;;;32.3596;-27.4254;0;Bottom;Copper Fill15
103;;;29.7688;-29.7368;0;Bottom;Copper Fill10
104;;;34.4678;-21.1389;0;Bottom;Copper Fill85
105;;;32.3596;-27.4254;0;Bottom;Copper Fill74
106;;;16.3449;-6.92768;0;Bottom;Copper Fill43
107;;;1.1049;-20.0849;0;Bottom;Copper Fill92
108;;;17.1958;-30.6385;0;Bottom;Copper Fill101
109;;;32.3596;-35.02;0;Bottom;Copper Fill71
110;;;1.1049;-8.65488;0;Bottom;Copper Fill47
111;;;25.8631;-39.3458;90;Bottom;TXT1
112;;;32.385;-7.08008;0;Bottom;Copper Fill82
113;;;32.385;-9.62008;0;Bottom;Copper Fill31
114;;;32.3596;-29.9654;0;Bottom;Copper Fill73
115;;;8.7249;-18.3577;0;Bottom;Copper Fill55
116;;;32.3596;-12.1601;0;Bottom;Copper Fill80
117;;;9.5758;-7.77858;0;Bottom;Copper Fill46
118;;;4.1148;-29.3685;0;Bottom;Copper Fill103
119;;;32.3596;-29.9654;0;Bottom;Copper Fill9
120;;;11.049;-31.083;0;Bottom;Copper Fill6
121;;;14.859;-12.4649;0;Bottom;Copper Fill25
122;;;32.3342;-32.48;0;Bottom;Copper Fill72
123;;;17.1958;-7.77858;0;Bottom;Copper Fill44
124;;;16.3449;-29.7876;0;Bottom;Copper Fill61
125;;;0.3048;-7.77858;0;Bottom;Copper Fill91
